Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=1024
	 ny=1024
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 1024 0 1024
I am writing output_source
I am total square differences: 0.00552427
Step 2, Diff=0.00308575
Step 829, Diff=3.12187e-05
Step 830, Diff=3.11901e-05
Step 831, Diff=3.11615e-05
Step 832, Diff=3.11329e-05
Step 833, Diff=3.11044e-05
Step 834, Diff=3.1076e-05
Step 835, Diff=3.10477e-05
Step 836, Diff=3.10194e-05
Step 837, Diff=3.09911e-05
Step 838, Diff=3.09629e-05
Step 839, Diff=3.09348e-05
Step 840, Diff=3.09068e-05
Step 841, Diff=3.08787e-05
Step 842, Diff=3.08508e-05
Step 843, Diff=3.08229e-05
Step 844, Diff=3.07951e-05
Step 845, Diff=3.07673e-05
Step 846, Diff=3.07396e-05
Step 847, Diff=3.07119e-05
Step 848, Diff=3.06843e-05
Step 849, Diff=3.06568e-05
Step 850, Diff=3.06293e-05
Step 851, Diff=3.06019e-05
Step 852, Diff=3.05745e-05
Step 853, Diff=3.05472e-05
Step 854, Diff=3.05199e-05
Step 855, Diff=3.04927e-05
Step 856, Diff=3.04656e-05
Step 857, Diff=3.04385e-05
Step 858, Diff=3.04114e-05
Step 859, Diff=3.03844e-05
Step 860, Diff=3.03575e-05
Step 861, Diff=3.03306e-05
Step 862, Diff=3.03038e-05
Step 863, Diff=3.02771e-05
Step 864, Diff=3.02503e-05
Step 865, Diff=3.02237e-05
Step 866, Diff=3.01971e-05
Step 867, Diff=3.01705e-05
Step 868, Diff=3.0144e-05
Step 869, Diff=3.01176e-05
Step 870, Diff=3.00912e-05
Step 871, Diff=3.00649e-05
Step 872, Diff=3.00386e-05
Step 873, Diff=3.00124e-05
Step 874, Diff=2.99862e-05
Step 875, Diff=2.99601e-05
Step 876, Diff=2.9934e-05
Step 877, Diff=2.9908e-05
Step 878, Diff=2.9882e-05
Step 879, Diff=2.98561e-05
Step 880, Diff=2.98302e-05
Step 881, Diff=2.98044e-05
Step 882, Diff=2.97787e-05
Step 883, Diff=2.9753e-05
Step 884, Diff=2.97273e-05
Step 885, Diff=2.97017e-05
Step 886, Diff=2.96761e-05
Step 887, Diff=2.96506e-05
Step 888, Diff=2.96252e-05
Step 889, Diff=2.95998e-05
Step 890, Diff=2.95744e-05
Step 891, Diff=2.95491e-05
Step 892, Diff=2.95238e-05
Step 893, Diff=2.94986e-05
Step 894, Diff=2.94735e-05
Step 895, Diff=2.94484e-05
Step 896, Diff=2.94233e-05
Step 897, Diff=2.93983e-05
Step 898, Diff=2.93733e-05
Step 899, Diff=2.93484e-05
Step 900, Diff=2.93236e-05
Step 901, Diff=2.92988e-05
Step 902, Diff=2.9274e-05
Step 903, Diff=2.92493e-05
Step 904, Diff=2.92246e-05
Step 905, Diff=2.92e-05
Step 906, Diff=2.91754e-05
Step 907, Diff=2.91509e-05
Step 908, Diff=2.91264e-05
Step 909, Diff=2.9102e-05
Step 910, Diff=2.90776e-05
Step 911, Diff=2.90532e-05
Step 912, Diff=2.90289e-05
Step 913, Diff=2.90047e-05
Step 914, Diff=2.89805e-05
Step 915, Diff=2.89563e-05
Step 916, Diff=2.89322e-05
Step 917, Diff=2.89082e-05
Step 918, Diff=2.88842e-05
Step 919, Diff=2.88602e-05
Step 920, Diff=2.88363e-05
Step 921, Diff=2.88124e-05
Step 922, Diff=2.87886e-05
Step 923, Diff=2.87648e-05
Step 924, Diff=2.8741e-05
Step 925, Diff=2.87173e-05
Step 926, Diff=2.86937e-05
Step 927, Diff=2.86701e-05
Step 928, Diff=2.86465e-05
Step 929, Diff=2.8623e-05
Step 930, Diff=2.85995e-05
Step 931, Diff=2.85761e-05
Step 932, Diff=2.85527e-05
Step 933, Diff=2.85294e-05
Step 934, Diff=2.85061e-05
Step 935, Diff=2.84828e-05
Step 936, Diff=2.84596e-05
Step 937, Diff=2.84364e-05
Step 938, Diff=2.84133e-05
Step 939, Diff=2.83902e-05
Step 940, Diff=2.83672e-05
Step 941, Diff=2.83442e-05
Step 942, Diff=2.83213e-05
Step 943, Diff=2.82984e-05
Step 944, Diff=2.82755e-05
Step 945, Diff=2.82527e-05
Step 946, Diff=2.82299e-05
Step 947, Diff=2.82071e-05
Step 948, Diff=2.81844e-05
Step 949, Diff=2.81618e-05
Step 950, Diff=2.81392e-05
Step 951, Diff=2.81166e-05
Step 952, Diff=2.80941e-05
Step 953, Diff=2.80716e-05
Step 954, Diff=2.80491e-05
Step 955, Diff=2.80267e-05
Step 956, Diff=2.80044e-05
Step 957, Diff=2.79821e-05
Step 958, Diff=2.79598e-05
Step 959, Diff=2.79375e-05
Step 960, Diff=2.79153e-05
Step 961, Diff=2.78932e-05
Step 962, Diff=2.7871e-05
Step 963, Diff=2.7849e-05
Step 964, Diff=2.78269e-05
Step 965, Diff=2.78049e-05
Step 966, Diff=2.7783e-05
Step 967, Diff=2.7761e-05
Step 968, Diff=2.77392e-05
Step 969, Diff=2.77173e-05
Step 970, Diff=2.76955e-05
Step 971, Diff=2.76738e-05
Step 972, Diff=2.7652e-05
Step 973, Diff=2.76304e-05
Step 974, Diff=2.76087e-05
Step 975, Diff=2.75871e-05
Step 976, Diff=2.75655e-05
Step 977, Diff=2.7544e-05
Step 978, Diff=2.75225e-05
Step 979, Diff=2.75011e-05
Step 980, Diff=2.74797e-05
Step 981, Diff=2.74583e-05
Step 982, Diff=2.7437e-05
Step 983, Diff=2.74157e-05
Step 984, Diff=2.73944e-05
Step 985, Diff=2.73732e-05
Step 986, Diff=2.7352e-05
Step 987, Diff=2.73308e-05
Step 988, Diff=2.73097e-05
Step 989, Diff=2.72887e-05
Step 990, Diff=2.72676e-05
Step 991, Diff=2.72466e-05
Step 992, Diff=2.72257e-05
Step 993, Diff=2.72048e-05
Step 994, Diff=2.71839e-05
Step 995, Diff=2.7163e-05
Step 996, Diff=2.71422e-05
Step 997, Diff=2.71214e-05
Step 998, Diff=2.71007e-05
Step 999, Diff=2.708e-05
Step 1000, Diff=2.70593e-05
printing...
Step 1001, Diff=2.70387e-05
Step 1002, Diff=2.70181e-05
Step 1003, Diff=2.69975e-05
Step 1004, Diff=2.6977e-05
Step 1005, Diff=2.69565e-05
Step 1006, Diff=2.69361e-05
Step 1007, Diff=2.69157e-05
Step 1008, Diff=2.68953e-05
Step 1009, Diff=2.6875e-05
Step 1010, Diff=2.68546e-05
Step 1011, Diff=2.68344e-05
Step 1012, Diff=2.68141e-05
Step 1013, Diff=2.67939e-05
Step 1014, Diff=2.67738e-05
Step 1015, Diff=2.67536e-05
Step 1016, Diff=2.67335e-05
Step 1017, Diff=2.67135e-05
Step 1018, Diff=2.66934e-05
Step 1019, Diff=2.66734e-05
Step 1020, Diff=2.66535e-05
Step 1021, Diff=2.66336e-05
Step 1022, Diff=2.66137e-05
Step 1023, Diff=2.65938e-05
Step 1024, Diff=2.6574e-05
Step 1025, Diff=2.65542e-05
Step 1026, Diff=2.65344e-05
Step 1027, Diff=2.65147e-05
Step 1028, Diff=2.6495e-05
Step 1029, Diff=2.64754e-05
Step 1030, Diff=2.64558e-05
Step 1031, Diff=2.64362e-05
Step 1032, Diff=2.64166e-05
Step 1033, Diff=2.63971e-05
Step 1034, Diff=2.63776e-05
Step 1035, Diff=2.63582e-05
Step 1036, Diff=2.63387e-05
Step 1037, Diff=2.63193e-05
Step 1038, Diff=2.63e-05
Step 1039, Diff=2.62807e-05
Step 1040, Diff=2.62614e-05
Step 1041, Diff=2.62421e-05
Step 1042, Diff=2.62229e-05
Step 1043, Diff=2.62037e-05
Step 1044, Diff=2.61845e-05
Step 1045, Diff=2.61654e-05
Step 1046, Diff=2.61463e-05
Step 1047, Diff=2.61272e-05
Step 1048, Diff=2.61082e-05
Step 1049, Diff=2.60892e-05
Step 1050, Diff=2.60702e-05
Step 1051, Diff=2.60513e-05
Step 1052, Diff=2.60324e-05
Step 1053, Diff=2.60135e-05
Step 1054, Diff=2.59947e-05
Step 1055, Diff=2.59759e-05
Step 1056, Diff=2.59571e-05
Step 1057, Diff=2.59383e-05
Step 1058, Diff=2.59196e-05
Step 1059, Diff=2.59009e-05
Step 1060, Diff=2.58823e-05
Step 1061, Diff=2.58636e-05
Step 1062, Diff=2.5845e-05
Step 1063, Diff=2.58265e-05
Step 1064, Diff=2.58079e-05
Step 1065, Diff=2.57894e-05
Step 1066, Diff=2.5771e-05
Step 1067, Diff=2.57525e-05
Step 1068, Diff=2.57341e-05
Step 1069, Diff=2.57157e-05
Step 1070, Diff=2.56974e-05
Step 1071, Diff=2.56791e-05
Step 1072, Diff=2.56608e-05
Step 1073, Diff=2.56425e-05
Step 1074, Diff=2.56243e-05
Step 1075, Diff=2.56061e-05
Step 1076, Diff=2.55879e-05
Step 1077, Diff=2.55697e-05
Step 1078, Diff=2.55516e-05
Step 1079, Diff=2.55336e-05
Step 1080, Diff=2.55155e-05
Step 1081, Diff=2.54975e-05
Step 1082, Diff=2.54795e-05
Step 1083, Diff=2.54615e-05
Step 1084, Diff=2.54436e-05
Step 1085, Diff=2.54257e-05
Step 1086, Diff=2.54078e-05
Step 1087, Diff=2.53899e-05
Step 1088, Diff=2.53721e-05
Step 1089, Diff=2.53543e-05
Step 1090, Diff=2.53365e-05
Step 1091, Diff=2.53188e-05
Step 1092, Diff=2.53011e-05
Step 1093, Diff=2.52834e-05
Step 1094, Diff=2.52658e-05
Step 1095, Diff=2.52482e-05
Step 1096, Diff=2.52306e-05
Step 1097, Diff=2.5213e-05
Step 1098, Diff=2.51955e-05
Step 1099, Diff=2.51779e-05
Step 1100, Diff=2.51605e-05
Step 1101, Diff=2.5143e-05
Step 1102, Diff=2.51256e-05
Step 1103, Diff=2.51082e-05
Step 1104, Diff=2.50908e-05
Step 1105, Diff=2.50735e-05
Step 1106, Diff=2.50561e-05
Step 1107, Diff=2.50389e-05
Step 1108, Diff=2.50216e-05
Step 1109, Diff=2.50044e-05
Step 1110, Diff=2.49872e-05
Step 1111, Diff=2.497e-05
Step 1112, Diff=2.49528e-05
Step 1113, Diff=2.49357e-05
Step 1114, Diff=2.49186e-05
Step 1115, Diff=2.49015e-05
Step 1116, Diff=2.48845e-05
Step 1117, Diff=2.48675e-05
Step 1118, Diff=2.48505e-05
Step 1119, Diff=2.48335e-05
Step 1120, Diff=2.48166e-05
Step 1121, Diff=2.47997e-05
Step 1122, Diff=2.47828e-05
Step 1123, Diff=2.47659e-05
Step 1124, Diff=2.47491e-05
Step 1125, Diff=2.47323e-05
Step 1126, Diff=2.47155e-05
Step 1127, Diff=2.46987e-05
Step 1128, Diff=2.4682e-05
Step 1129, Diff=2.46653e-05
Step 1130, Diff=2.46486e-05
Step 1131, Diff=2.4632e-05
Step 1132, Diff=2.46154e-05
Step 1133, Diff=2.45988e-05
Step 1134, Diff=2.45822e-05
Step 1135, Diff=2.45656e-05
Step 1136, Diff=2.45491e-05
Step 1137, Diff=2.45326e-05
Step 1138, Diff=2.45161e-05
Step 1139, Diff=2.44997e-05
Step 1140, Diff=2.44833e-05
Step 1141, Diff=2.44669e-05
Step 1142, Diff=2.44505e-05
Step 1143, Diff=2.44342e-05
Step 1144, Diff=2.44179e-05
Step 1145, Diff=2.44016e-05
Step 1146, Diff=2.43853e-05
Step 1147, Diff=2.4369e-05
Step 1148, Diff=2.43528e-05
Step 1149, Diff=2.43366e-05
Step 1150, Diff=2.43205e-05
Step 1151, Diff=2.43043e-05
Step 1152, Diff=2.42882e-05
Step 1153, Diff=2.42721e-05
Step 1154, Diff=2.4256e-05
Step 1155, Diff=2.424e-05
Step 1156, Diff=2.4224e-05
Step 1157, Diff=2.4208e-05
Step 1158, Diff=2.4192e-05
Step 1159, Diff=2.4176e-05
Step 1160, Diff=2.41601e-05
Step 1161, Diff=2.41442e-05
Step 1162, Diff=2.41283e-05
Step 1163, Diff=2.41125e-05
Step 1164, Diff=2.40966e-05
Step 1165, Diff=2.40808e-05
Step 1166, Diff=2.4065e-05
Step 1167, Diff=2.40493e-05
Step 1168, Diff=2.40336e-05
Step 1169, Diff=2.40178e-05
Step 1170, Diff=2.40022e-05
Step 1171, Diff=2.39865e-05
Step 1172, Diff=2.39708e-05
Step 1173, Diff=2.39552e-05
Step 1174, Diff=2.39396e-05
Step 1175, Diff=2.39241e-05
Step 1176, Diff=2.39085e-05
Step 1177, Diff=2.3893e-05
Step 1178, Diff=2.38775e-05
Step 1179, Diff=2.3862e-05
Step 1180, Diff=2.38466e-05
Step 1181, Diff=2.38311e-05
Step 1182, Diff=2.38157e-05
Step 1183, Diff=2.38003e-05
Step 1184, Diff=2.3785e-05
Step 1185, Diff=2.37696e-05
Step 1186, Diff=2.37543e-05
Step 1187, Diff=2.3739e-05
Step 1188, Diff=2.37237e-05
Step 1189, Diff=2.37085e-05
Step 1190, Diff=2.36933e-05
Step 1191, Diff=2.3678e-05
Step 1192, Diff=2.36629e-05
Step 1193, Diff=2.36477e-05
Step 1194, Diff=2.36326e-05
Step 1195, Diff=2.36174e-05
Step 1196, Diff=2.36024e-05
Step 1197, Diff=2.35873e-05
Step 1198, Diff=2.35722e-05
Step 1199, Diff=2.35572e-05
Step 1200, Diff=2.35422e-05
Step 1201, Diff=2.35272e-05
Step 1202, Diff=2.35122e-05
Step 1203, Diff=2.34973e-05
Step 1204, Diff=2.34824e-05
Step 1205, Diff=2.34675e-05
Step 1206, Diff=2.34526e-05
Step 1207, Diff=2.34378e-05
Step 1208, Diff=2.34229e-05
Step 1209, Diff=2.34081e-05
Step 1210, Diff=2.33933e-05
Step 1211, Diff=2.33786e-05
Step 1212, Diff=2.33638e-05
Step 1213, Diff=2.33491e-05
Step 1214, Diff=2.33344e-05
Step 1215, Diff=2.33197e-05
Step 1216, Diff=2.3305e-05
Step 1217, Diff=2.32904e-05
Step 1218, Diff=2.32758e-05
Step 1219, Diff=2.32612e-05
Step 1220, Diff=2.32466e-05
Step 1221, Diff=2.3232e-05
Step 1222, Diff=2.32175e-05
Step 1223, Diff=2.3203e-05
Step 1224, Diff=2.31885e-05
Step 1225, Diff=2.3174e-05
Step 1226, Diff=2.31596e-05
Step 1227, Diff=2.31451e-05
Step 1228, Diff=2.31307e-05
Step 1229, Diff=2.31163e-05
Step 1230, Diff=2.3102e-05
Step 1231, Diff=2.30876e-05
Step 1232, Diff=2.30733e-05
Step 1233, Diff=2.3059e-05
Step 1234, Diff=2.30447e-05
Step 1235, Diff=2.30304e-05
Step 1236, Diff=2.30162e-05
Step 1237, Diff=2.3002e-05
Step 1238, Diff=2.29878e-05
Step 1239, Diff=2.29736e-05
Step 1240, Diff=2.29594e-05
Step 1241, Diff=2.29453e-05
Step 1242, Diff=2.29311e-05
Step 1243, Diff=2.2917e-05
Step 1244, Diff=2.29029e-05
Step 1245, Diff=2.28889e-05
Step 1246, Diff=2.28748e-05
Step 1247, Diff=2.28608e-05
Step 1248, Diff=2.28468e-05
Step 1249, Diff=2.28328e-05
Step 1250, Diff=2.28188e-05
Step 1251, Diff=2.28049e-05
Step 1252, Diff=2.27909e-05
Step 1253, Diff=2.2777e-05
Step 1254, Diff=2.27631e-05
Step 1255, Diff=2.27493e-05
Step 1256, Diff=2.27354e-05
Step 1257, Diff=2.27216e-05
Step 1258, Diff=2.27078e-05
Step 1259, Diff=2.2694e-05
Step 1260, Diff=2.26802e-05
Step 1261, Diff=2.26665e-05
Step 1262, Diff=2.26527e-05
Step 1263, Diff=2.2639e-05
Step 1264, Diff=2.26253e-05
Step 1265, Diff=2.26116e-05
Step 1266, Diff=2.2598e-05
Step 1267, Diff=2.25843e-05
Step 1268, Diff=2.25707e-05
Step 1269, Diff=2.25571e-05
Step 1270, Diff=2.25435e-05
Step 1271, Diff=2.25299e-05
Step 1272, Diff=2.25164e-05
Step 1273, Diff=2.25029e-05
Step 1274, Diff=2.24894e-05
Step 1275, Diff=2.24759e-05
Step 1276, Diff=2.24624e-05
Step 1277, Diff=2.24489e-05
Step 1278, Diff=2.24355e-05
Step 1279, Diff=2.24221e-05
Step 1280, Diff=2.24087e-05
Step 1281, Diff=2.23953e-05
Step 1282, Diff=2.23819e-05
Step 1283, Diff=2.23686e-05
Step 1284, Diff=2.23553e-05
Step 1285, Diff=2.2342e-05
Step 1286, Diff=2.23287e-05
Step 1287, Diff=2.23154e-05
Step 1288, Diff=2.23022e-05
Step 1289, Diff=2.22889e-05
Step 1290, Diff=2.22757e-05
Step 1291, Diff=2.22625e-05
Step 1292, Diff=2.22493e-05
Step 1293, Diff=2.22362e-05
Step 1294, Diff=2.2223e-05
Step 1295, Diff=2.22099e-05
Step 1296, Diff=2.21968e-05
Step 1297, Diff=2.21837e-05
Step 1298, Diff=2.21706e-05
Step 1299, Diff=2.21575e-05
Step 1300, Diff=2.21445e-05
Step 1301, Diff=2.21315e-05
Step 1302, Diff=2.21185e-05
Step 1303, Diff=2.21055e-05
Step 1304, Diff=2.20925e-05
Step 1305, Diff=2.20796e-05
Step 1306, Diff=2.20666e-05
Step 1307, Diff=2.20537e-05
Step 1308, Diff=2.20408e-05
Step 1309, Diff=2.20279e-05
Step 1310, Diff=2.20151e-05
Step 1311, Diff=2.20022e-05
Step 1312, Diff=2.19894e-05
Step 1313, Diff=2.19766e-05
Step 1314, Diff=2.19638e-05
Step 1315, Diff=2.1951e-05
Step 1316, Diff=2.19382e-05
Step 1317, Diff=2.19255e-05
Step 1318, Diff=2.19128e-05
Step 1319, Diff=2.19001e-05
Step 1320, Diff=2.18874e-05
Step 1321, Diff=2.18747e-05
Step 1322, Diff=2.1862e-05
Step 1323, Diff=2.18494e-05
Step 1324, Diff=2.18368e-05
Step 1325, Diff=2.18241e-05
Step 1326, Diff=2.18116e-05
Step 1327, Diff=2.1799e-05
Step 1328, Diff=2.17864e-05
Step 1329, Diff=2.17739e-05
Step 1330, Diff=2.17613e-05
Step 1331, Diff=2.17488e-05
Step 1332, Diff=2.17363e-05
Step 1333, Diff=2.17239e-05
Step 1334, Diff=2.17114e-05
Step 1335, Diff=2.1699e-05
Step 1336, Diff=2.16865e-05
Step 1337, Diff=2.16741e-05
Step 1338, Diff=2.16617e-05
Step 1339, Diff=2.16493e-05
Step 1340, Diff=2.1637e-05
Step 1341, Diff=2.16246e-05
Step 1342, Diff=2.16123e-05
Step 1343, Diff=2.16e-05
Step 1344, Diff=2.15877e-05
Step 1345, Diff=2.15754e-05
Step 1346, Diff=2.15631e-05
Step 1347, Diff=2.15509e-05
Step 1348, Diff=2.15386e-05
Step 1349, Diff=2.15264e-05
Step 1350, Diff=2.15142e-05
Step 1351, Diff=2.1502e-05
Step 1352, Diff=2.14899e-05
Step 1353, Diff=2.14777e-05
Step 1354, Diff=2.14656e-05
Step 1355, Diff=2.14534e-05
Step 1356, Diff=2.14413e-05
Step 1357, Diff=2.14292e-05
Step 1358, Diff=2.14172e-05
Step 1359, Diff=2.14051e-05
Step 1360, Diff=2.13931e-05
Step 1361, Diff=2.1381e-05
Step 1362, Diff=2.1369e-05
Step 1363, Diff=2.1357e-05
Step 1364, Diff=2.1345e-05
Step 1365, Diff=2.13331e-05
Step 1366, Diff=2.13211e-05
Step 1367, Diff=2.13092e-05
Step 1368, Diff=2.12972e-05
Step 1369, Diff=2.12853e-05
Step 1370, Diff=2.12734e-05
Step 1371, Diff=2.12616e-05
Step 1372, Diff=2.12497e-05
Step 1373, Diff=2.12379e-05
Step 1374, Diff=2.1226e-05
Step 1375, Diff=2.12142e-05
Step 1376, Diff=2.12024e-05
Step 1377, Diff=2.11906e-05
Step 1378, Diff=2.11788e-05
Step 1379, Diff=2.11671e-05
Step 1380, Diff=2.11553e-05
Step 1381, Diff=2.11436e-05
Step 1382, Diff=2.11319e-05
Step 1383, Diff=2.11202e-05
Step 1384, Diff=2.11085e-05
Step 1385, Diff=2.10969e-05
Step 1386, Diff=2.10852e-05
Step 1387, Diff=2.10736e-05
Step 1388, Diff=2.10619e-05
Step 1389, Diff=2.10503e-05
Step 1390, Diff=2.10387e-05
Step 1391, Diff=2.10272e-05
Step 1392, Diff=2.10156e-05
Step 1393, Diff=2.10041e-05
Step 1394, Diff=2.09925e-05
Step 1395, Diff=2.0981e-05
Step 1396, Diff=2.09695e-05
Step 1397, Diff=2.0958e-05
Step 1398, Diff=2.09465e-05
Step 1399, Diff=2.09351e-05
Step 1400, Diff=2.09236e-05
Step 1401, Diff=2.09122e-05
Step 1402, Diff=2.09008e-05
Step 1403, Diff=2.08893e-05
Step 1404, Diff=2.0878e-05
Step 1405, Diff=2.08666e-05
Step 1406, Diff=2.08552e-05
Step 1407, Diff=2.08439e-05
Step 1408, Diff=2.08325e-05
Step 1409, Diff=2.08212e-05
Step 1410, Diff=2.08099e-05
Step 1411, Diff=2.07986e-05
Step 1412, Diff=2.07873e-05
Step 1413, Diff=2.07761e-05
Step 1414, Diff=2.07648e-05
Step 1415, Diff=2.07536e-05
Step 1416, Diff=2.07424e-05
Step 1417, Diff=2.07312e-05
Step 1418, Diff=2.072e-05
Step 1419, Diff=2.07088e-05
Step 1420, Diff=2.06976e-05
Step 1421, Diff=2.06865e-05
Step 1422, Diff=2.06753e-05
Step 1423, Diff=2.06642e-05
Step 1424, Diff=2.06531e-05
Step 1425, Diff=2.0642e-05
Step 1426, Diff=2.06309e-05
Step 1427, Diff=2.06198e-05
Step 1428, Diff=2.06088e-05
Step 1429, Diff=2.05977e-05
Step 1430, Diff=2.05867e-05
Step 1431, Diff=2.05757e-05
Step 1432, Diff=2.05647e-05
Step 1433, Diff=2.05537e-05
Step 1434, Diff=2.05427e-05
Step 1435, Diff=2.05317e-05
Step 1436, Diff=2.05208e-05
Step 1437, Diff=2.05099e-05
Step 1438, Diff=2.04989e-05
Step 1439, Diff=2.0488e-05
Step 1440, Diff=2.04771e-05
Step 1441, Diff=2.04662e-05
Step 1442, Diff=2.04554e-05
Step 1443, Diff=2.04445e-05
Step 1444, Diff=2.04337e-05
Step 1445, Diff=2.04228e-05
Step 1446, Diff=2.0412e-05
Step 1447, Diff=2.04012e-05
Step 1448, Diff=2.03904e-05
Step 1449, Diff=2.03797e-05
Step 1450, Diff=2.03689e-05
Step 1451, Diff=2.03581e-05
Step 1452, Diff=2.03474e-05
Step 1453, Diff=2.03367e-05
Step 1454, Diff=2.0326e-05
Step 1455, Diff=2.03153e-05
Step 1456, Diff=2.03046e-05
Step 1457, Diff=2.02939e-05
Step 1458, Diff=2.02832e-05
Step 1459, Diff=2.02726e-05
Step 1460, Diff=2.0262e-05
Step 1461, Diff=2.02513e-05
Step 1462, Diff=2.02407e-05
Step 1463, Diff=2.02301e-05
Step 1464, Diff=2.02195e-05
Step 1465, Diff=2.0209e-05
Step 1466, Diff=2.01984e-05
Step 1467, Diff=2.01879e-05
Step 1468, Diff=2.01773e-05
Step 1469, Diff=2.01668e-05
Step 1470, Diff=2.01563e-05
Step 1471, Diff=2.01458e-05
Step 1472, Diff=2.01353e-05
Step 1473, Diff=2.01248e-05
Step 1474, Diff=2.01144e-05
Step 1475, Diff=2.01039e-05
Step 1476, Diff=2.00935e-05
Step 1477, Diff=2.00831e-05
Step 1478, Diff=2.00727e-05
Step 1479, Diff=2.00623e-05
Step 1480, Diff=2.00519e-05
Step 1481, Diff=2.00415e-05
Step 1482, Diff=2.00312e-05
Step 1483, Diff=2.00208e-05
Step 1484, Diff=2.00105e-05
Step 1485, Diff=2.00002e-05
Step 1486, Diff=1.99898e-05
Step 1487, Diff=1.99795e-05
Step 1488, Diff=1.99693e-05
Step 1489, Diff=1.9959e-05
Step 1490, Diff=1.99487e-05
Step 1491, Diff=1.99385e-05
Step 1492, Diff=1.99282e-05
Step 1493, Diff=1.9918e-05
Step 1494, Diff=1.99078e-05
Step 1495, Diff=1.98976e-05
Step 1496, Diff=1.98874e-05
Step 1497, Diff=1.98772e-05
Step 1498, Diff=1.98671e-05
Step 1499, Diff=1.98569e-05
Step 1500, Diff=1.98468e-05
Step 1501, Diff=1.98366e-05
Step 1502, Diff=1.98265e-05
Step 1503, Diff=1.98164e-05
Step 1504, Diff=1.98063e-05
Step 1505, Diff=1.97962e-05
Step 1506, Diff=1.97862e-05
Step 1507, Diff=1.97761e-05
Step 1508, Diff=1.9766e-05
Step 1509, Diff=1.9756e-05
Step 1510, Diff=1.9746e-05
Step 1511, Diff=1.9736e-05
Step 1512, Diff=1.9726e-05
Step 1513, Diff=1.9716e-05
Step 1514, Diff=1.9706e-05
Step 1515, Diff=1.9696e-05
Step 1516, Diff=1.96861e-05
Step 1517, Diff=1.96761e-05
Step 1518, Diff=1.96662e-05
Step 1519, Diff=1.96563e-05
Step 1520, Diff=1.96464e-05
Step 1521, Diff=1.96365e-05
Step 1522, Diff=1.96266e-05
Step 1523, Diff=1.96167e-05
Step 1524, Diff=1.96068e-05
Step 1525, Diff=1.9597e-05
Step 1526, Diff=1.95872e-05
Step 1527, Diff=1.95773e-05
Step 1528, Diff=1.95675e-05
Step 1529, Diff=1.95577e-05
Step 1530, Diff=1.95479e-05
Step 1531, Diff=1.95381e-05
Step 1532, Diff=1.95283e-05
Step 1533, Diff=1.95186e-05
Step 1534, Diff=1.95088e-05
Step 1535, Diff=1.94991e-05
Step 1536, Diff=1.94894e-05
Step 1537, Diff=1.94796e-05
Step 1538, Diff=1.94699e-05
Step 1539, Diff=1.94602e-05
Step 1540, Diff=1.94506e-05
Step 1541, Diff=1.94409e-05
Step 1542, Diff=1.94312e-05
Step 1543, Diff=1.94216e-05
Step 1544, Diff=1.94119e-05
Step 1545, Diff=1.94023e-05
Step 1546, Diff=1.93927e-05
Step 1547, Diff=1.93831e-05
Step 1548, Diff=1.93735e-05
Step 1549, Diff=1.93639e-05
Step 1550, Diff=1.93543e-05
Step 1551, Diff=1.93447e-05
Step 1552, Diff=1.93352e-05
Step 1553, Diff=1.93256e-05
Step 1554, Diff=1.93161e-05
Step 1555, Diff=1.93066e-05
Step 1556, Diff=1.92971e-05
Step 1557, Diff=1.92876e-05
Step 1558, Diff=1.92781e-05
Step 1559, Diff=1.92686e-05
Step 1560, Diff=1.92592e-05
Step 1561, Diff=1.92497e-05
Step 1562, Diff=1.92402e-05
Step 1563, Diff=1.92308e-05
Step 1564, Diff=1.92214e-05
Step 1565, Diff=1.9212e-05
Step 1566, Diff=1.92026e-05
Step 1567, Diff=1.91932e-05
Step 1568, Diff=1.91838e-05
Step 1569, Diff=1.91744e-05
Step 1570, Diff=1.91651e-05
Step 1571, Diff=1.91557e-05
Step 1572, Diff=1.91464e-05
Step 1573, Diff=1.9137e-05
Step 1574, Diff=1.91277e-05
Step 1575, Diff=1.91184e-05
Step 1576, Diff=1.91091e-05
Step 1577, Diff=1.90998e-05
Step 1578, Diff=1.90905e-05
Step 1579, Diff=1.90813e-05
Step 1580, Diff=1.9072e-05
Step 1581, Diff=1.90628e-05
Step 1582, Diff=1.90535e-05
Step 1583, Diff=1.90443e-05
Step 1584, Diff=1.90351e-05
Step 1585, Diff=1.90259e-05
Step 1586, Diff=1.90167e-05
Step 1587, Diff=1.90075e-05
Step 1588, Diff=1.89983e-05
Step 1589, Diff=1.89891e-05
Step 1590, Diff=1.898e-05
Step 1591, Diff=1.89708e-05
Step 1592, Diff=1.89617e-05
Step 1593, Diff=1.89526e-05
Step 1594, Diff=1.89435e-05
Step 1595, Diff=1.89344e-05
Step 1596, Diff=1.89253e-05
Step 1597, Diff=1.89162e-05
Step 1598, Diff=1.89071e-05
Step 1599, Diff=1.8898e-05
Step 1600, Diff=1.8889e-05
Step 1601, Diff=1.88799e-05
Step 1602, Diff=1.88709e-05
Step 1603, Diff=1.88619e-05
Step 1604, Diff=1.88528e-05
Step 1605, Diff=1.88438e-05
Step 1606, Diff=1.88348e-05
Step 1607, Diff=1.88259e-05
